name,city,area,rating,rating_count,cusine,cost_for_two,online_order,table_reservation,delivery_only
Sarada Hotel & Restaurant,Siliguri,Khalpara,3.5,18,"Biryani, South Indian, Chinese",200.0,True,False,False
Chaudhary Restaurant,Mumbai,Kharghar,0.0,0,North Indian,200.0,False,False,False
Zimana,Allahabad,Civil Lines,3.3,16,"North Indian, Chinese, Beverages, Coffee, Continental, Desserts, Pizza, South Indian",500.0,True,False,False
Cake Me Home,Mumbai,"Oshiwara, Andheri West",3.3,0,"Desserts, Bakery",200.0,True,False,False
Mamledar Misal,Mumbai,Ghatkopar West,3.2,9,"Maharashtrian, Street Food, Fast Food",200.0,True,False,False
Spoonfuel,Kolkata,Kankurgachi,0.0,0,"Continental, Fast Food, Chinese, North Indian",400.0,False,False,True
Viva Goa,Goa,Candolim,3.6,26,"Goan, Seafood, North Indian, Chinese",450.0,False,False,False
Chatkazz,Vadodara,Subhanpura,3.2,49,"Fast Food, North Indian",300.0,True,False,False
Subway,Mumbai,"Khopat, Thane West",3.5,295,"Fast Food, Healthy Food, Sandwich, Salad",400.0,False,False,False
Club Shawarma,Pune,Pimpri,3.2,19,"Lebanese, Juices, Beverages",350.0,True,False,False
Food Factory,Bengaluru,Kanakapura Road,0.0,0,Fast Food,300.0,False,False,False
Chicks On Fire,Ludhiana,Model Town,2.7,45,"North Indian, Chinese",650.0,False,False,False
Raju's Kitchen,Mumbai,Borivali East,3.7,557,"Chinese, North Indian, Biryani",900.0,True,False,False
Winner Food Company,Puducherry,Gandhinagar,0.0,0,Biryani,200.0,True,False,False
Boofiya,Mumbai,Dombivali East,3.7,43,"Cafe, Fast Food, Sandwich",500.0,True,False,False
Cafe Eleven,Alappuzha,Kommady,0.0,0,"Sandwich, Juices",200.0,False,False,False
QFC - Quality Fried Chicken,Kolkata,Nagerbazar,3.6,89,"Fast Food, American",200.0,True,False,False
Hyderabad Mughal Biriyani,Chennai,Anna Nagar West,3.4,96,"North Indian, Chinese, Arabian, Seafood, Biryani",600.0,False,False,False
Non Veg Town,Ajmer,Ana Sagar Lake,3.3,0,North Indian,350.0,False,False,False
Ram Lal Ji Ke Chole Bhature,Meerut,Devpuri,3.2,6,Street Food,100.0,True,False,False
Adraq by OYO,Delhi NCR,"Sector 51, Noida",0.0,0,"North Indian, Mughlai",300.0,False,False,True
Cake Shop - Vivanta Coimbatore,Coimbatore,Race Course,0.0,0,"Cafe, Bakery, Desserts",600.0,False,True,False
Shri Raj Rajeshwari Balaji Sweets And Namkeen,Indore,Rau,3.3,0,"Mithai, North Indian",200.0,False,False,False
Box Of Joy,Bengaluru,Bellandur,0.0,0,"North Indian, Chinese",300.0,True,False,False
Celebrita Restaurant,Nashik,Nashik Road,3.2,26,"North Indian, Chinese",700.0,False,False,False
Pizza Bites N Chinese,Jaipur,Sodala,3.3,0,Fast Food,200.0,True,False,False
Street Foods by Punjab Grill,Delhi NCR,Tagore Garden,3.6,90,"North Indian, Street Food, Kebab",450.0,True,False,False
Chai Adda,Pune,Kothrud,3.6,23,"Street Food, Fast Food",300.0,True,False,False
Egg Center,Indore,Old Palasia,0.0,0,Fast Food,200.0,False,False,False
Street Cafe,Kolkata,Bara Bazar,3.3,25,"Fast Food, Sandwich, Burger",300.0,True,False,False
Chowman,Kolkata,"Sector 1, Salt Lake",4.2,3164,"Chinese, Seafood, Cantonese, Asian, Thai",900.0,True,False,False
Kathleen,Kolkata,Picnic Garden,3.0,9,"Bakery, Fast Food",150.0,False,False,False
Hotel Seetali,Pune,Rasta Peth,0.0,0,North Indian,350.0,False,False,False
Monginis,Rajkot,150 Feet Ring Road,3.0,4,"Desserts, Bakery",250.0,False,False,False
Hotel Yashoda,Pune,Baner,3.0,6,"North Indian, Chinese",500.0,False,False,False
Mi Casa,Goa,Bambolim,0.0,0,"Chinese, Goan, Mughlai, North Indian",700.0,False,False,False
Imly Cafe,Delhi NCR,Golf Course Road,4.0,2293,"Street Food, North Indian",1000.0,True,True,False
Grand China,Mumbai,Kalyan,3.3,21,Chinese,600.0,False,False,False
The Sunset Lounge - Hotel Clarks Shiraz,Agra,Agra Cantt,3.3,6,Finger Food,300.0,False,False,False
Mellow Lounge & Bar,Delhi NCR,Rajouri Garden,3.9,17,"Chinese, North Indian, Continental, Beverages",300.0,True,False,False
BADSHAH SWEETS,Pune,MG Road,0.0,0,"Mithai, Street Food",500.0,False,False,False
U Tan Sea Resorts,Mumbai,Bhayandar,4.0,283,"Continental, North Indian, Thai, South Indian",300.0,False,False,False
Hariprasad,Mumbai,Marol,3.8,636,"North Indian, Chinese, Mughlai",600.0,True,False,False
Anna Sagar Restaurant,Bhopal,JP Nagar,3.3,0,"Fast Food, Chinese, North Indian",200.0,False,False,False
Aakashvani Khaman,Surat,Varaccha,3.3,0,Gujarati,50.0,False,False,False
Goli Vada Pav,Indore,Vijay Nagar,3.0,0,Street Food,200.0,False,False,False
Shri Sharma Laaj,Jodhpur,Sardarpura,0.0,0,North Indian,150.0,False,False,False
Natraj Restaurant,Udaipur,City Centre,4.0,233,"Gujarati, Rajasthani",400.0,False,False,False
Famous Vadapav and Locho,Surat,Kadodara,3.3,0,"Gujarati, Fast Food, Street Food",300.0,False,False,False
Icebox,Jaipur,Shyam Nagar,3.7,108,"Cafe, Desserts",400.0,True,False,False
Waffle Emporio,Kolkata,Bangur,3.3,0,Desserts,200.0,False,False,False
Mahal,Ranchi,Ahirtoli,3.8,32,"North Indian, Chinese",700.0,False,False,False
Shiva's Kabab Corner,Bengaluru,Sahakara Nagar,3.9,176,"North Indian, Kebab",400.0,False,False,False
Godavari Ruchulu,Hyderabad,Film Nagar,3.1,124,"South Indian, Andhra, Hyderabadi, Chinese",450.0,True,False,False
Domino's Pizza,Bengaluru,KR Puram,3.1,512,"Pizza, Fast Food",400.0,True,False,False
Mishraji's Little Kitchen,Mumbai,Ghatkopar West,3.3,8,"Chinese, Street Food",350.0,False,False,False
Laidback Cafe,Delhi NCR,Saket,4.1,320,"Continental, North Indian, Asian, Fast Food",2000.0,False,False,False
Subway,Hyderabad,Ameerpet,3.6,24,"Fast Food, Healthy Food, Sandwich, Salad",500.0,True,False,False
Nalas,Puducherry,Villianur,0.0,0,"South Indian, Chinese",200.0,False,False,False
Delhi Darbar,Delhi NCR,Palam,3.3,0,North Indian,150.0,False,False,False
Kota Dhani,Kota,Ladpura,0.0,0,"Chinese, Indian",150.0,False,False,False
Mio Amore,Kolkata,Sealdah Area,3.8,158,Bakery,150.0,False,False,False
Big Straw Blast,Bengaluru,Sahakara Nagar,3.5,13,Beverages,150.0,True,False,False
Little Tintin Restaurant,Kolkata,Konnagar,3.1,62,"North Indian, Bengali, Chinese",400.0,True,False,False
La Feasta,Ahmedabad,Bodakdev,3.6,108,Italian,900.0,False,False,False
Ahmadia Restaurant,Chennai,Parrys,3.2,5,"Chinese, North Indian, Hyderabadi",400.0,False,False,False
Love Triangle Bakers And Cafe,Delhi NCR,Vasundhara,0.0,0,"Bakery, Desserts",300.0,False,False,False
Noor Dhaba,Amritsar,Ranjit Avenue,3.3,0,"North Indian, Chinese, Beverages",300.0,False,False,False
Feast & Beast Restaurant,Varanasi,Durgakund,0.0,0,Fast Food,200.0,False,False,False
Mata Pithori Devi Hotel,Mumbai,Ambernath,3.2,11,"Fast Food, Seafood, Malwani",350.0,True,False,False
Agri Spice,Mumbai,"Panch Pakhadi, Thane West",3.3,14,"North Indian, Chinese",450.0,True,False,False
Bakes & Beans,Amritsar,Ranjit Avenue,4.2,167,"Italian, Cafe",300.0,True,False,False
Hawk Wings,Thrissur,Poothole,0.0,0,Finger Food,300.0,False,False,False
Yummylicious,Chennai,Kilpauk,0.0,0,Bakery,350.0,False,False,False
Soniya's Royal Cafe,Chennai,Kodambakkam,0.0,0,"North Indian, Chinese",300.0,False,False,False
Priyanka,Guwahati,Beltola,3.9,64,"Fast Food, Bakery, Desserts, Momos",150.0,False,False,False
Halal Food,Delhi NCR,"Sector 62, Noida",3.3,0,"Chinese, Rolls",250.0,False,False,False
Teng Fast Food Corner,Chandigarh,"Sector 37, Chandigarh",0.0,0,"Fast Food, North Indian",500.0,False,False,False
Pizza Loves Shakes,Hyderabad,Gachibowli,3.3,0,"Pizza, Beverages",250.0,True,False,False
Mysore Express,Ahmedabad,Chandkheda,3.3,0,South Indian,300.0,False,False,False
Calavara's Hot Pot,Kochi,Edappally,0.0,0,Kerala,500.0,False,False,False
Noor Non-Veg,Jhansi,Sipri Bazaar,3.3,0,North Indian,150.0,False,False,False
Karachi Bakery,Hyderabad,Tolichowki,4.1,398,"Bakery, Fast Food, Desserts",450.0,False,False,False
Antique Caterers,Jaipur,Mansarovar,3.3,0,North Indian,300.0,False,False,False
Datta Bhel,Mumbai,Kharghar,3.2,0,Street Food,100.0,True,False,False
Mainland Punjab,Delhi NCR,Rohini,0.0,0,"North Indian, Biryani",850.0,True,False,False
Hotel Classic Food,Pune,Lohegaon,3.3,10,Maharashtrian,300.0,True,False,False
Bake House,Delhi NCR,Najafgarh,0.0,0,"Bakery, Desserts",300.0,False,False,True
Salad Express,Mumbai,South Mumbai,3.5,19,Salad,200.0,True,False,True
De Lawn Cafe and Restaurant,Bengaluru,International Airport,3.5,9,Cafe,500.0,False,False,False
Kathleen,Kolkata,Behala,2.9,21,"Bakery, Fast Food",150.0,False,False,False
Hide Out,Delhi NCR,Mukherjee Nagar,3.4,20,Fast Food,100.0,False,False,False
