15628064,North Indian,800,"Shop 59, Reri Mohalla, Neem Chowk, Ludhiana Junction, Ludhiana","30.9107570648,75.8577499390","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",False,False.1,False.2,Unnamed: 9
+91 9811707532,"Fast Food, North Eastern, Momos",150,"526, Baga River Road, Arpora Saturday Night Market, Baga, Goa","15.5701700000,73.7557800000","{'Mon': '11:30am – 11pm', 'Tue': '11:30am – 11pm', 'Wed': '11:30am – 11pm', 'Thu': '11:30am – 11pm', 'Fri': '11:30am – 11pm', 'Sat': '11:30am – 11pm', 'Sun': '11:30am – 11pm'}",True,False,True,
+91 9821148562 +91 9769933696,"Mithai, Desserts, Street Food",200,"501, Aashna Enclave, Road- 1, Saint Thomas School, Pandurangwadi, Goregaon East, Mumbai","19.1684190000,72.8497100000","{'Mon': '10am – 10pm', 'Tue': '10am – 10pm', 'Wed': '10am – 10pm', 'Thu': '10am – 10pm', 'Fri': '10am – 10pm', 'Sat': '10am – 10pm', 'Sun': '10am – 10pm'}",False,False,False,
Not Available,North Indian,200,"B-56, Tulsi Marg, Block-B, Sector 22, Noida","28.5903803200,77.3450820500","{'Mon': '12noon – 11pm', 'Tue': '12noon – 11pm', 'Wed': '12noon – 11pm', 'Thu': '12noon – 11pm', 'Fri': '12noon – 11pm', 'Sat': '12noon – 11pm', 'Sun': '12noon – 11pm'}",False,False,True,
00 1129833776 +91 9999922104,"Bakery, Fast Food",400,"Shop 6, Ring Road Market, Nehru Nagar, Lajpat Nagar 1, New Delhi","28.5697966518,77.2540160269","{'Mon': '10am – 10pm', 'Tue': '10am – 10pm', 'Wed': '10am – 10pm', 'Thu': '10am – 10pm', 'Fri': '10am – 10pm', 'Sat': '10am – 10pm', 'Sun': '10am – 10pm'}",True,False,False,
+91 9979898800,South Indian,250,"Nana Mauva Main Road, Opposite Kalyan Party Plot, Nana Mava, Rajkot","22.2726440000,70.7719460000","{'Mon': '6:30pm – 11:30pm', 'Tue': '6:30pm – 11:30pm', 'Wed': '6:30pm – 11:30pm', 'Thu': '6:30pm – 11:30pm', 'Fri': '6:30pm – 11:30pm', 'Sat': '6:30pm – 11:30pm', 'Sun': '6:30pm – 11:30pm'}",True,False,False,
011 40391826 18605001033,"Raw Meats, North Indian, Fast Food",450,"451 & 452, Ground Floor, Lila Ram Market, Masjid Moth, South Extension 2, New Delhi","28.5642590551,77.2193756327","{'Mon': '10am – 10pm', 'Tue': '10am – 10pm', 'Wed': '10am – 10pm', 'Thu': '10am – 10pm', 'Fri': '10am – 10pm', 'Sat': '10am – 10pm', 'Sun': '10am – 10pm'}",True,False,False,
+91 9480906969,"North Indian, Chinese",600,"6, 1st A Cross, Bhuvaneswari Nagar, Dasarahalli, Main Road, Farm Post, B.B.M.P, Hebbal, Bangalore","13.0546110000,77.6015280000","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,
+91 9652284603 +91 8179099871,"Ice Cream, Desserts",300,"Surya Satya Apartments, D - No : 40-6-22/3, Fortune Murali Park Road (Kandari Road), Revenue Colony,  Mogalrajpuram, Vijayawada","16.5039707207,80.6469567865","{'Mon': '10am – 11pm', 'Tue': '10am – 11pm', 'Wed': '10am – 11pm', 'Thu': '10am – 11pm', 'Fri': '10am – 11pm', 'Sat': '10am – 11pm', 'Sun': '10am – 11pm'}",True,False,False,
+91 9223599836,"Street Food, Mithai",100,"Shop 2, Krishna Kunj, Lallubhai Park Road, Andheri West, Near Andheri West Station, Mumbai","19.1131412456,72.8427347168","{'Mon': '8am – 8pm', 'Tue': '8am – 8pm', 'Wed': '8am – 8pm', 'Thu': '8am – 8pm', 'Fri': '8am – 8pm', 'Sat': '8am – 8pm', 'Sun': '8am – 8pm'}",False,False,False,
+91 9847229521,Kerala,150,"K.P Vallon Road, Ernakulam, Kadavanthra, Kochi","9.9530916667,76.3025888889","{'Mon': '7am – 10:30pm', 'Tue': '7am – 10:30pm', 'Wed': '7am – 10:30pm', 'Thu': '7am – 10:30pm', 'Fri': '7am – 10:30pm', 'Sat': '7am – 10:30pm', 'Sun': '7am – 10:30pm'}",False,False,False,
+91 9938505698,"Fast Food, Biryani",100,"CRP Square, Nayapalli, Bhubaneshwar","20.2832385940,85.8092043176","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,
+91 8939899868,"North Indian, South Indian, Chettinad",750,"6/1, By Pass Road, Near Murugan Kalyana Mandapam, Anand Garden, Gangai Nagar, Velachery, Chennai","12.9847152434,80.2176772803","{'Mon': '11am – 11pm', 'Tue': '11am – 11pm', 'Wed': '11am – 11pm', 'Thu': '11am – 11pm', 'Fri': '11am – 11pm', 'Sat': '11am – 11pm', 'Sun': '11am – 11pm'}",True,False,False,"Carrot Halwa , Border Paratha , Chicken Kothu , Vegetable Corn Soup , Lime Soda , Sweet Corn Veg Soup , Omelette"
0,Pizza,800,"Kadubisanahalli, Marathahalli, Bangalore","12.9342010000,77.6960460000","{'Mon': '11am – 1am', 'Tue': '11am – 1am', 'Wed': '11am – 1am', 'Thu': '11am – 1am', 'Fri': '11am – 1am', 'Sat': '11am – 1am', 'Sun': '11am – 1am'}",False,False,True,"Thin Crust Pizza , Lava Cake , Chicken Tikka , Garlic Bread , Veggie Pizza"
0651 2562058 0651 3254110,"North Indian, Chinese, Biryani, Desserts, Beverages",600,"1st Floor, Jagannath Complex, Circular Road, Lalpur, Ranchi","23.3754458676,85.3351017460","{'Mon': '9am – 10pm', 'Tue': '9am – 10pm', 'Wed': '9am – 10pm', 'Thu': '9am – 10pm', 'Fri': '9am – 10pm', 'Sat': '9am – 10pm', 'Sun': '9am – 10pm'}",True,False,False,"Chicken Lollipop , Veg Thali"
+91 9664274075,"Beverages, Ice Cream",150,"27, Juhu Beach, Juhu Tara Road, Juhu, Mumbai","19.0980830415,72.8264902532","{'Mon': '9am – 11:30pm', 'Tue': '9am – 11:30pm', 'Wed': '9am – 11:30pm', 'Thu': '9am – 11:30pm', 'Fri': '9am – 11:30pm', 'Sat': '9am – 11:30pm', 'Sun': '9am – 11:30pm'}",False,False,False,
+91 8655537716,"North Indian, Fast Food, Street Food",350,"1st Floor, DDA market, RBI Colony, Paschim Vihar, New Delhi","28.6649550000,77.0954600000","{'Mon': '9am – 4pm, 7pm – 12midnight', 'Tue': '9am – 4pm, 7pm – 12midnight', 'Wed': '9am – 4pm, 7pm – 12midnight', 'Thu': '9am – 4pm, 7pm – 12midnight', 'Fri': '9am – 4pm, 7pm – 12midnight', 'Sat': '9am – 4pm, 7pm – 12midnight', 'Sun': '9am – 4pm, 7pm – 12midnight'}",False,False,True,
